9,10,"['A/2189', 'SK-7-B']",SK-7,"{'have': 184, 'want': 263}",US,"['Vinyl', 'LP', 'Album', 'Stereo']",['Jazz'],584654,"['Skye Records', 'Western Recorders', 'Gotham Recording Corporation']",https://api.discogs.com/masters/584654,['Avant-garde Jazz'],https://api-img.discogs.com/Xr9d5UGdjTQgHsE8cxGAmxfNvm8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1146647-1410624329-7389.jpeg.jpg,Gabor Szabo - Dreams,master,/Gabor-Szabo-Dreams/master/584654,1968.0
10,11,"['BIEM - GEMA', 'M. 29715-1975', '6.421', '850  2814029 A 1', '850  2814029 B 1']",28 14 029,"{'have': 12, 'want': 1}",Spain,"['Vinyl', '7""', '45 RPM', 'Single', 'Promo']",['Jazz'],1374606,"['Verve Records', 'Club De Vanguardia', 'Fonogram, S.A.', 'COFASA', 'Cayfosa']",https://api.discogs.com/releases/1374606,['Smooth Jazz'],https://api-img.discogs.com/zTqNiqup6KPfANdwbgwqENraxVk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1374606-1383053969-2840.jpeg.jpg,"Ella Fitzgerald Y Oscar Peterson Trio, The - Don't Cha Go 'Way Mad / Will You Still Be Mine?",release,/Ella-Fitzgerald-Y-Oscar-Peterson-Trio-Dont-Cha-Go-Way-Mad-Will-You-Still-Be-Mine/release/1374606,1975.0
11,12,"['4 013809 371116', 'LC 0665', 'GEMA']",M 1181,"{'have': 0, 'want': 0}",Germany,"['CD', 'Single']",['Jazz'],1375421,"['Monopol Records', 'Monopol Records']",https://api.discogs.com/releases/1375421,"['Big Band', 'Swing']",https://api-img.discogs.com/nLinJhgW9B9LZOwYt5ANhufMP0s=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1375421-1214139390.jpeg.jpg,Palast Orchester Mit Seinem Sänger Max Raabe - Rinderwahn,release,/Palast-Orchester-Mit-Seinem-S%C3%A4nger-Max-Raabe-Rinderwahn/release/1375421,1997.0
12,13,"['S.I.A.E.', 'GJ 13 / A 520 12 80 1 1 8', 'GJ 13 B 1 520 1 1 8']",GJ-13,"{'have': 53, 'want': 6}",Italy,"['Vinyl', 'LP', 'Album']",['Jazz'],547556,"['Curcio', 'I Giganti Del Jazz', 'Disques Black And Blue S.A.R.L.', 'Phonoster']",https://api.discogs.com/masters/547556,"['Bop', 'Post Bop', 'Easy Listening', 'Cool Jazz']",https://api-img.discogs.com/CHUTu0QNhdCZGVFSJtUeypwuoM8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2683872-1296432473.jpeg.jpg,"Milton Buckner*, Buddy Tate, Wallace Bishop - I Giganti Del Jazz Vol. 13",master,/Milton-Buckner-Buddy-Tate-Wallace-Bishop-I-Giganti-Del-Jazz-Vol-13/master/547556,1980.0
13,14,[],BLP 30107,"{'have': 24, 'want': 27}",UK,"['Vinyl', 'LP', 'Album']",['Jazz'],1387363,['Black Lion Records'],https://api.discogs.com/releases/1387363,[],https://api-img.discogs.com/omwIplwG7dOggQqQf4stWYY740I=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1387363-1252829819.jpeg.jpg,Barney Kessel - Swinging Easy!,release,/Barney-Kessel-Swinging-Easy/release/1387363,1971.0
14,15,[],ACT 9206-2,"{'have': 3, 'want': 0}",UK & Europe,"['CD', 'Album']",['Jazz'],591368,['The ACT Company'],https://api.discogs.com/masters/591368,['Jazz-Funk'],https://api-img.discogs.com/KkE9rYzaL4rLxNJSLJi1Qaz9_7s=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1444440-1220202287.jpeg.jpg,"Bazillus (2) Featuring Eddie Harris - Regulator, The",master,/Bazillus-2-Featuring-Eddie-Harris-Regulator-The/master/591368,1992.0
15,16,"['MGV 8222-A', 'MGV 8222-B']",MG V-8222,"{'have': 19, 'want': 21}",US,"['Vinyl', 'LP', 'Album', 'Mono']",['Jazz'],591539,['Verve Records'],https://api.discogs.com/masters/591539,[],https://api-img.discogs.com/24mEt0yQHRZnCtU61Ef2RLEmeYo=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4125710-1356141737-1109.jpeg.jpg,Dizzy Gillespie Big Band - Birks' Works,master,/Dizzy-Gillespie-Big-Band-Birks-Works/master/591539,1958.0
16,17,[],LPS-718,"{'have': 13, 'want': 7}",US,"['Vinyl', 'LP', 'Album', 'Stereo']",['Jazz'],591692,['Argo Records'],https://api.discogs.com/masters/591692,['Swing'],https://api-img.discogs.com/zmbacxnnkkY0FAlnICbCXzF9IMg=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4680849-1393981190-3011.jpeg.jpg,Al Grey - Having A Ball,master,/Al-Grey-Having-A-Ball/master/591692,1963.0
17,18,[],MRL 408,"{'have': 23, 'want': 83}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],591755,['Mainstream Records'],https://api.discogs.com/masters/591755,[],https://api-img.discogs.com/CO-gE1tyQI2dkpw-3LUskS_X5rs=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4866277-1378373478-2413.jpeg.jpg,"Harold Land, Bobby Hutcherson, Blue Mitchell, Joe Sample, Stanley Clarke, Freddy Robinson*, Hadley Caliman, Buddy Terry, Woody Shaw, Eddie Henderson - Jazz",master,/Harold-Land-Bobby-Hutcherson-Blue-Mitchell-Joe-Sample-Stanley-Clarke-Freddy-Robinson-Hadley-Caliman-/master/591755,1974.0
18,19,"['PRES . 428 . A.', 'PRES . 428 . B.', 'VAN GELDER', 'ASCAP']",45-428,"{'have': 9, 'want': 1}",US,"['Vinyl', '7""', '45 RPM', 'Single']",['Jazz'],592138,"['Prestige', 'Prestige Records Inc.']",https://api.discogs.com/masters/592138,['Soul-Jazz'],https://api-img.discogs.com/P8oTrGIcVwT2WM7azTHIjqvwM88=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4868986-1377984612-1347.jpeg.jpg,“Groove” Holmes* - The More I See You,master,/Groove-Holmes-The-More-I-See-You/master/592138,1966.0
19,20,[],ST-20129,"{'have': 30, 'want': 28}",US,"['Vinyl', 'LP', 'Album', 'Stereo']",['Jazz'],586984,"['Pacific Jazz Records', 'Top Of The Gate']",https://api.discogs.com/masters/586984,[],https://api-img.discogs.com/LHb567yQVL-opdtI798iCGIlxFA=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1156591-1349361145-3993.jpeg.jpg,Johnny Lytle - Swingin' At The Gate,master,/Johnny-Lytle-Swingin-At-The-Gate/master/586984,1967.0
20,21,[],MCA2-4019,"{'have': 85, 'want': 6}",Canada,"['Vinyl', 'LP', 'Compilation']",['Jazz'],587165,"['MCA Records', 'MCA Records (Canada)']",https://api.discogs.com/masters/587165,['Swing'],https://api-img.discogs.com/Q5x0xnhJ5smBKXPPcINcabhKzBk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2992606-1310825523.jpeg.jpg,Art Tatum - Art Tatum Masterpieces,master,/Art-Tatum-Art-Tatum-Masterpieces/master/587165,1973.0
21,22,"['ZSS 164730', 'ZSS 164732', 'ZSS 164730-1A  Y', 'ZSS 164732-1A  Y']",3-10761,"{'have': 3, 'want': 8}",US,"['Vinyl', '7""', 'Single', '45 RPM', 'Promo']",['Jazz'],588942,"['Tappan Zee Records', 'Columbia']",https://api.discogs.com/masters/588942,"['Smooth Jazz', 'Jazz-Funk']",https://api-img.discogs.com/AT01nNxFD_WnQBPfgQy0GvzHgFc=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1995680-1257801159.jpeg.jpg,Mark Colby - On And On / King Tut,master,/Mark-Colby-On-And-On-King-Tut/master/588942,1978.0
22,23,[],MR 5164,"{'have': 11, 'want': 5}",US,"['Vinyl', 'LP', 'Album', 'Promo']",['Jazz'],589046,['Muse Records'],https://api.discogs.com/masters/589046,[],https://api-img.discogs.com/GngpGUZBzHFqRP8zGxbBv5fpA3I=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4822377-1397571796-8853.jpeg.jpg,Gene Ludwig - Now's The Time,master,/Gene-Ludwig-Nows-The-Time/master/589046,1980.0
23,24,"['x""LP"" 41168', 'x""LP"" 41169']",CL 1020,"{'have': 112, 'want': 3}",US,"['Vinyl', 'LP', 'Mono', 'Album', 'Compilation']",['Jazz'],1380519,['Columbia'],https://api.discogs.com/releases/1380519,"['Bop', 'Dixieland', 'Swing', 'Hard Bop', 'Cool Jazz']",https://api-img.discogs.com/HDfnqdfcn3-znJRH9tT9FMpNgcg=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1380519-1300322981.jpeg.jpg,Various - Jazz Omnibus,release,/Various-Jazz-Omnibus/release/1380519,1957.0
24,25,[],SHCD 147,"{'have': 6, 'want': 5}",Sweden,"['CD', 'Album']",['Jazz'],1380735,['Silkheart'],https://api.discogs.com/releases/1380735,"['Free Jazz', 'Free Improvisation']",https://api-img.discogs.com/Y0225JCOWMml2ZmM8ih_69Q5Vks=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1380735-1214647330.jpeg.jpg,William Hooker / Billy Bang Duo - Joy (Within)!,release,/William-Hooker-Billy-Bang-Duo-Joy-Within/release/1380735,1996.0
25,26,['SACEM SDRM SACD SGDL '],IMPRO 05,"{'have': 35, 'want': 20}",France,"['Vinyl', 'LP', 'Album']",['Jazz'],587398,"['Impro', 'Sun Records', 'Studio Ramsès']",https://api.discogs.com/masters/587398,[],https://api-img.discogs.com/hbJXB5dxfhZazFGHPDr-ndvjWg4=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2011931-1384294623-7570.jpeg.jpg,Archie Shepp Quintet - Bird Fire,master,/Archie-Shepp-Quintet-Bird-Fire/master/587398,1979.0
26,27,[],BLP 1551,"{'have': 102, 'want': 66}",US,"['Vinyl', 'LP', 'Album', 'Mono']",['Jazz'],587538,"['Blue Note', 'Manhattan Towers']",https://api.discogs.com/masters/587538,"['Bop', 'Hard Bop']",https://api-img.discogs.com/3uC5TbWyiJv1gLf8tWuwfhpDL-8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1048073-1352417795-4249.jpeg.jpg,"Jimmy Smith - Jimmy Smith At The Organ, Volume 1",master,/Jimmy-Smith-Jimmy-Smith-At-The-Organ-Volume-1/master/587538,1957.0
27,28,"['8 012980 502629', '8012980502629', 'IFPI L082', 'IFPI 6213', 'RDC 5026 PHC 1536-B', 'S.I.A.E.']",rdc 5026 2,"{'have': 45, 'want': 34}",Italy,"['CD', 'Album', 'Reissue']",['Jazz'],1385374,"['New Tone Records', 'New Tone Records', 'Ictus Reissue Series', 'Felmay', 'Robi Droli', 'Robi Droli', 'PhonoComp', 'WKCR', 'Hi-Fi Sound Studio', 'Hi-Fi Sound Studio']",https://api.discogs.com/releases/1385374,"['Free Jazz', 'Free Improvisation']",https://api-img.discogs.com/06_ZAh2XfSLG9V85NLUN0BIDHXU=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1385374-1215098412.jpeg.jpg,"Polly Bradfield, Andrea Centazzo, Eugene Chadbourne, Tom Cora, Toshinori Kondo, John Zorn - Environment For Sextet",release,/Polly-Bradfield-Andrea-Centazzo-Eugene-Chadbourne-Tom-Cora-Toshinori-Kondo-John-Zorn-Environment-For/release/1385374,1995.0
28,29,[],MUS 3027,"{'have': 5, 'want': 19}",France,"['Vinyl', 'LP', 'Album']",['Jazz'],1249739,['Musica Records'],https://api.discogs.com/releases/1249739,['Free Jazz'],https://api-img.discogs.com/Ul5uDa5mMLT_pBWcLhN02SjVVaY=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1249739-1412325531-6524.jpeg.jpg,Steve Grossman & Jean-François Jenny Clark* - New Moon,release,/Steve-Grossman-Jean-Fran%C3%A7ois-Jenny-Clark-New-Moon/release/1249739,1978.0
29,30,"['IFPI LA31', 'INCUSCDS1 •', 'MASTERED BY DOCDATA']",CD Single 01,"{'have': 18, 'want': 10}",UK,"['CD', 'Single', 'Enhanced']",['Jazz'],1250096,['Incus Records'],https://api.discogs.com/releases/1250096,"['Free Improvisation', 'Modal']",https://api-img.discogs.com/8JjDu5uMB0M3hBovv7pY9ZkoTmc=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1250096-1224459533.jpeg.jpg,Joseph Holbrooke '65* - Rehearsal Extract 10' 26,release,/Joseph-Holbrooke-65-Rehearsal-Extract-10-26/release/1250096,1999.0
30,31,[],CS-35 LP,"{'have': 38, 'want': 39}",UK,"['Vinyl', 'LP', 'Compilation']",['Jazz'],1250438,['Cosmic Sounds'],https://api.discogs.com/releases/1250438,"['Afro-Cuban Jazz', 'Fusion', 'Jazz-Funk']",https://api-img.discogs.com/qKpWmr6p5NX05a6QQVC18eQnRyI=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1250438-1318087994.jpeg.jpg,Various - Anthology - Rare Jazz / Fusion Gems From Hungarian Vaults Vol. 1,release,/Various-Anthology-Rare-Jazz-Fusion-Gems-From-Hungarian-Vaults-Vol-1/release/1250438,2005.0
31,32,[],AS-9221,"{'have': 64, 'want': 175}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],1250469,"['Impulse!', 'ABC Records']",https://api.discogs.com/releases/1250469,"['Free Jazz', 'Modal']",https://api-img.discogs.com/JJww8cblEHupOkEuld6WG8rCmgk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1250469-1345291626-5546.jpeg.jpg,Michael White (2) - Pneuma,release,/Michael-White-Pneuma/release/1250469,1972.0
32,33,[],LP-643,"{'have': 6, 'want': 2}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],520881,"['Shalom Records', 'Jazz City Studios']",https://api.discogs.com/masters/520881,['Dixieland'],https://api-img.discogs.com/ysWPW0DXErbzihDqDr6yEZkeP9g=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3457460-1358868270-3118.jpeg.jpg,Wallace Davenport And The Jazz Greats - Preservation Of Jazz,master,/Wallace-Davenport-And-The-Jazz-Greats-Preservation-Of-Jazz/master/520881,
33,34,[],С60 24013 005,"{'have': 5, 'want': 12}",USSR,"['Vinyl', 'LP']",['Jazz'],592835,"['Мелодия', 'Осенние Ритмы']",https://api.discogs.com/masters/592835,[],https://api-img.discogs.com/skBgxH04pztPVArjQ13i65iUyBk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3779649-1366816765-4845.jpeg.jpg,Various - Осенние Ритмы-85 (1),master,/Various-%D0%9E%D1%81%D0%B5%D0%BD%D0%BD%D0%B8%D0%B5-%D0%A0%D0%B8%D1%82%D0%BC%D1%8B-85-1/master/592835,1986.0
34,35,[],VF002,"{'have': 9, 'want': 4}",US,"['CD', 'Album']",['Jazz'],592897,['Vital Music'],https://api.discogs.com/masters/592897,"['Free Jazz', 'Big Band']",https://api-img.discogs.com/4y3x9F6nKBd_TH3ADA4nWsatiIE=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3693113-1340614617-4928.jpeg.jpg,Chris McGregor's Brotherhood Of Breath - In Memoriam,master,/Chris-McGregors-Brotherhood-Of-Breath-In-Memoriam/master/592897,1994.0
35,36,[],SE 8055,"{'have': 2, 'want': 0}",Yugoslavia,"['Vinyl', '7""', '45 RPM', 'Single', 'Mono']",['Jazz'],1376176,['Jugoton'],https://api.discogs.com/releases/1376176,"['Big Band', 'Easy Listening']",https://api-img.discogs.com/1c4zNObWsLdJi7QY8s6-Mfkn1cw=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1376176-1214208897.jpeg.jpg,Orkestar Lutz Albrecht* - La Paloma / Singing Hills,release,/Orkestar-Lutz-Albrecht-La-Paloma-Singing-Hills/release/1376176,
36,37,[],01-40N,"{'have': 2, 'want': 0}",Norway,"['CD', 'Compilation']",['Jazz'],1376316,['Not On Label'],https://api.discogs.com/releases/1376316,[],https://api-img.discogs.com/YSnxPn7_JpSxua-sCRhHkFUaM68=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1376316-1214222473.jpeg.jpg,Sandefjord Storband - Swingin' Christmas,release,/Sandefjord-Storband-Swingin-Christmas/release/1376316,2001.0
37,38,[],SN 1058,"{'have': 26, 'want': 13}",Italy,"['Vinyl', 'LP', 'Album']",['Jazz'],585361,"['Soul Note', 'Soul Note', 'Soul Note']",https://api.discogs.com/masters/585361,[],https://api-img.discogs.com/7_v8ysx5pFrAKeL_9QsVYdlsCr0=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1920105-1252503279.jpeg.jpg,"Jimmy Giuffre 4, The - Dragonfly",master,/Jimmy-Giuffre-4-Dragonfly/master/585361,1983.0
38,39,[],DLP-25950,"{'have': 12, 'want': 3}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],585501,['Dot Records'],https://api.discogs.com/masters/585501,[],https://api-img.discogs.com/Kh39OWUN5rKEZHjB5xpX3WXybgQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3194071-1353301822-2739.jpeg.jpg,Jack Sheldon - The Cool World Of Jack Sheldon,master,/Jack-Sheldon-The-Cool-World-Of-Jack-Sheldon/master/585501,1969.0
39,40,['0 7777-46861-2 9'],CDP 7 46861 2,"{'have': 4, 'want': 4}",US,"['CD', 'Compilation', 'Mono']",['Jazz'],585518,"['Pacific Jazz Records', 'Capitol Records, Inc.', 'Capitol Records, Inc.', 'Capitol Records, Inc.', 'Van Gelder Studio, Hackensack, New Jersey']",https://api.discogs.com/masters/585518,"['Cool Jazz', 'Bop']",https://api-img.discogs.com/mEuUI2hccMcUkUp2pMF1cTRMCco=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2575284-1291263719.jpeg.jpg,Russ Freeman / Richard Twardzik* - Trio,master,/Russ-Freeman-Richard-Twardzik-Trio/master/585518,1989.0
40,41,[],CDCRB 556,"{'have': 2, 'want': 0}",Germany,"['CD', 'Compilation']",['Jazz'],401118,['Charly Records'],https://api.discogs.com/releases/401118,"['Dixieland', 'Swing']",https://api-img.discogs.com/wK8xTqa6CB-ycZXQDl-mxMKeq0U=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-401118-1114536126.jpg.jpg,Louis Armstrong - Take It Satch!,release,/Louis-Armstrong-Take-It-Satch/release/401118,1995.0
41,42,[],SMM 509626 2,"{'have': 5, 'want': 0}",US,"['CD', 'Compilation']",['Jazz'],401815,"['Sony Music Media', 'Columbia Jazz', 'Columbia']",https://api.discogs.com/releases/401815,"['Bop', 'Hard Bop']",https://api-img.discogs.com/NUS_8TgdZcpjw8NrXCaC45lIqoQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-401815-1125291365.jpg.jpg,Thelonious Monk - 1962-1968,release,/Thelonious-Monk-1962-1968/release/401815,2003.0
42,43,['7 35286 11732 5'],ALP173CD,"{'have': 43, 'want': 5}",US,"['CD', 'Album']",['Jazz'],1328944,"['Atavistic', 'Semaphore Recording', 'Semaphore Recording', 'Golden Mastering']",https://api.discogs.com/releases/1328944,['Free Jazz'],https://api-img.discogs.com/6oQwwteTyj6hBwBg_l9jXwdHou0=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1328944-1424640347-9451.jpeg.jpg,"Vandermark 5, The* - A Discontinuous Line",release,/Vandermark-5-The-A-Discontinuous-Line/release/1328944,2006.0
43,44,[],JMY 1010-2,"{'have': 9, 'want': 1}",Italy,"['CD', 'Unofficial Release']",['Jazz'],1329480,"['Jazz Music Yesterday', 'Antibes Jazz Festival']",https://api.discogs.com/releases/1329480,"['Post Bop', 'Modal']",https://api-img.discogs.com/dfReAH4rvFw9h4-4sxDok_g4TpQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1329480-1210113342.jpeg.jpg,Miles Davis Quintet* - Côte Blues,release,/Miles-Davis-Quintet-C%C3%B4te-Blues/release/1329480,1991.0
44,45,[],TBM (P) 5023,"{'have': 30, 'want': 51}",Japan,"['Vinyl', 'LP', 'Album']",['Jazz'],560647,"['Three Blind Mice', 'Moers Festival', 'Nippon Phonogram Co., Ltd.', 'Nippon Phonogram Co., Ltd.']",https://api.discogs.com/masters/560647,"['Free Improvisation', 'Free Jazz', 'Contemporary Jazz']",https://api-img.discogs.com/Y0GWOpdo0Ea9PwC5ER_0yDw-Vxc=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4607888-1369788619-9173.jpeg.jpg,New Direction Unit - Live At Moers Festival,master,/New-Direction-Unit-Live-At-Moers-Festival/master/560647,1980.0
45,46,[],LST 7247,"{'have': 67, 'want': 4}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],562263,['Liberty'],https://api.discogs.com/masters/562263,['Easy Listening'],https://api-img.discogs.com/jhn1oyb60isiqMr6a6b8vjaiyZQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3755635-1343083789-5804.jpeg.jpg,Si Zentner And His Orchestra - The Stripper And Other Big Band Hits,master,/Si-Zentner-And-His-Orchestra-The-Stripper-And-Other-Big-Band-Hits/master/562263,1962.0
46,47,[],EPS-1205,"{'have': 0, 'want': 0}",Unknown,"['Vinyl', '7""']",['Jazz'],562807,['Eureka'],https://api.discogs.com/masters/562807,[],https://api-img.discogs.com/dRP5F_R6AVidSMmAbuNyKT6Gdzo=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1835601-1246703156.jpeg.jpg,"Al Delory* - Let's / Gotta Walk, Can't Sleep",master,/Al-Delory-Lets-Gotta-Walk-Cant-Sleep/master/562807,
47,48,[],9 45209-2,"{'have': 19, 'want': 4}",US,"['CD', 'Album']",['Jazz'],562838,['Warner Bros. Records'],https://api.discogs.com/masters/562838,[],https://api-img.discogs.com/lhDM63AiOcyi22PFqSQwWYU3z5I=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1206775-1328095945.jpeg.jpg,Joe Sample - Invitation,master,/Joe-Sample-Invitation/master/562838,1993.0
